data,br_casos,nz_casos
2020-02-25,0,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,1
2020-02-29,2,0
2020-03-01,2,0
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,3,1
2020-03-05,7,1
2020-03-06,13,1
2020-03-07,19,1
2020-03-08,25,0
2020-03-09,25,0
2020-03-10,34,0
2020-03-11,52,0
2020-03-12,77,0
2020-03-13,98,0
2020-03-14,121,1
2020-03-15,200,2
2020-03-16,234,0
2020-03-17,291,4
2020-03-18,428,8
2020-03-19,621,8
2020-03-20,904,11
2020-03-21,1128,13
2020-03-22,1546,14
2020-03-23,1891,36
2020-03-24,2201,40
2020-03-25,2433,47
2020-03-26,2915,73
2020-03-27,3417,76
2020-03-28,3903,78
2020-03-29,4256,60
2020-03-30,4579,76
2020-03-31,5717,48
2020-04-01,6834,47
2020-04-02,7910,76
2020-04-03,9056,51
2020-04-04,10278,50
2020-04-05,11130,48
2020-04-06,12056,39
2020-04-07,13717,32
2020-04-08,15927,26
2020-04-09,17857,23
2020-04-10,19638,23
2020-04-11,20727,20
2020-04-12,22169,14
2020-04-13,23430,15
2020-04-14,25262,8
2020-04-15,28320,6
2020-04-16,30425,6
2020-04-17,33682,2
2020-04-18,36599,8
2020-04-19,38654,4
2020-04-20,40581,7
2020-04-21,43079,2
2020-04-22,45757,3
2020-04-23,49492,2
2020-04-24,52995,2
2020-04-25,58509,3
2020-04-26,61888,4
2020-04-27,66501,1
2020-04-28,71886,2
2020-04-29,78162,2
2020-04-30,85380,3
2020-05-01,91299,3
2020-05-02,96396,2
2020-05-03,101147,2
2020-05-04,107780,1
2020-05-05,114715,0
2020-05-06,125218,1
2020-05-07,135106,1
2020-05-08,145328,2
2020-05-09,155939,1
2020-05-10,162699,2
2020-05-11,168331,3
2020-05-12,177589,0
2020-05-13,188974,0
2020-05-14,202918,0
2020-05-15,218223,1
2020-05-16,233142,0
2020-05-17,241080,1
2020-05-18,254220,0
2020-05-19,271628,4
