data,br_obitos,vacinas_acumulado
2021-02-27,1386,8433568
2021-02-28,721,8465403
2021-03-01,778,8841027
2021-03-02,1641,9277322
2021-03-03,1910,9739676
2021-03-04,1699,10169160
2021-03-05,1800,10576542
2021-03-06,1555,10830688
2021-03-07,1086,10948409
2021-03-08,987,11357494
2021-03-09,1972,11756131
2021-03-10,2286,12181103
2021-03-11,2233,12613179
2021-03-12,2216,13017720
2021-03-13,1997,13223729
2021-03-14,1127,13286664
2021-03-15,1057,13763573
2021-03-16,2841,14198794
2021-03-17,2648,14648691
2021-03-18,2724,15087602
2021-03-19,2815,15623349
2021-03-20,2438,15883688
2021-03-21,1290,15980363
2021-03-22,1383,16567102
2021-03-23,3251,17157631
2021-03-24,2009,17886781
2021-03-25,2777,18655345
2021-03-26,3650,19577786
2021-03-27,3438,19962072
2021-03-28,1656,20216938
2021-03-29,1660,21160763
2021-03-30,3780,21950245
2021-03-31,3869,22839287
2021-04-01,3769,23880805
2021-04-02,2922,24181208
2021-04-03,1987,24575470
2021-04-04,1240,24910668
2021-04-05,1319,25658532
2021-04-06,4195,26736003
2021-04-07,3829,27644079
2021-04-08,4249,28653848
2021-04-09,3693,29544578
2021-04-10,2616,30084664
2021-04-11,1803,30356896
2021-04-12,1480,31316420
2021-04-13,3808,32217205
2021-04-14,3459,33148388
2021-04-15,3560,34050325
2021-04-16,3305,34993448
2021-04-17,2929,35603882
2021-04-18,1657,35817144
2021-04-19,1347,36910479
2021-04-20,3321,37909705
2021-04-21,3472,38467754
2021-04-22,2027,39291064
2021-04-23,2914,41073104
2021-04-24,3076,41494939
2021-04-25,1305,41626753
2021-04-26,1139,42787199
2021-04-27,3086,44287510
2021-04-28,3163,45379804
2021-04-29,3001,46426188
2021-04-30,2595,47399150
2021-05-01,2656,47663526
2021-05-02,1202,47755613
2021-05-03,983,48643324
2021-05-04,2966,49626137
2021-05-05,2811,50576224
2021-05-06,2550,51624587
2021-05-07,2165,52647815
2021-05-08,2202,52972460
2021-05-09,1024,53064124
2021-05-10,889,54008862
2021-05-11,2311,54912939
2021-05-12,2494,55907165
2021-05-13,2383,56583962
2021-05-14,2211,57313642
2021-05-15,2087,57668646
2021-05-16,1036,57935280
2021-05-17,786,58714631
2021-05-18,2513,59603625
2021-05-19,2641,60363334
2021-05-20,2403,61297420
2021-05-21,2215,62122684
2021-05-22,1899,62459684
2021-05-23,860,63278821
2021-05-24,790,64098809
2021-05-25,2173,64918585
2021-05-26,2398,65668438
2021-05-27,2245,66363506
2021-05-28,2371,67359292
2021-05-29,2012,67761958
2021-05-30,874,67874735
2021-05-31,860,68665647
2021-06-01,2408,69477898
2021-06-02,2507,70685368
2021-06-03,1682,71245492
2021-06-04,1454,71961789
2021-06-05,1689,72586950
2021-06-06,873,72811509
2021-06-07,1010,73614079
2021-06-08,2378,74920113
2021-06-09,2723,76117123
2021-06-10,2504,77243101
2021-06-11,2216,78471914
2021-06-12,2037,79118243
2021-06-13,1129,79466212
2021-06-14,827,80577338
2021-06-15,2468,81940689
2021-06-16,2997,83181485
2021-06-17,2311,85441106
2021-06-18,2495,87160471
2021-06-19,2301,88108418
2021-06-20,1025,88570223
2021-06-21,761,90013336
2021-06-22,2131,91420290
2021-06-23,2392,92782243
2021-06-24,2032,94322179
2021-06-25,2001,95764065
2021-06-26,1593,96545254
2021-06-27,739,96789753
2021-06-28,618,97929680
2021-06-29,1893,99828676
2021-06-30,2081,101167462
2021-07-01,2029,102561737
2021-07-02,1857,104047565
2021-07-03,1635,104753510
2021-07-04,830,105097389
2021-07-05,695,106696625
2021-07-06,1780,108247755
2021-07-07,1648,109976127
2021-07-08,1639,111573265
2021-07-09,1509,112999344
2021-07-10,1205,113929447
2021-07-11,595,114350128
2021-07-12,745,115654260
2021-07-13,1605,117154411
2021-07-14,1556,118689127
2021-07-15,1548,120155331
2021-07-16,1456,121651233
2021-07-17,868,122615695
2021-07-18,948,122859535
2021-07-19,542,124433796
2021-07-20,1424,126315897
2021-07-21,1424,128199383
2021-07-22,1412,130131385
2021-07-23,1324,131858906
2021-07-24,1108,132812191
2021-07-25,476,133139145
2021-07-26,578,134540217
2021-07-27,1333,136158369
2021-07-28,1344,137944954
2021-07-29,1318,139483586
2021-07-30,963,141319627
2021-07-31,910,142301917
2021-08-01,464,142598659
2021-08-02,389,143762758
2021-08-03,1209,145618595
2021-08-04,1175,148054492
2021-08-05,1099,149763010
2021-08-06,1056,151506191
2021-08-07,990,152313188
2021-08-08,399,152680029
2021-08-09,411,154190964
2021-08-10,1211,156399040
2021-08-11,975,158422879
2021-08-12,1148,160674246
2021-08-13,966,162832096
2021-08-14,926,164215233
2021-08-15,270,164680217
2021-08-16,434,166750328
2021-08-17,1106,169753003
2021-08-18,1064,171741149
2021-08-19,979,174263122
2021-08-20,870,176376890
2021-08-21,698,177587502
2021-08-22,318,178173214
2021-08-23,321,180251675
2021-08-24,894,182654763
2021-08-25,903,184707573
2021-08-26,920,186102952
2021-08-27,761,188045400
2021-08-28,684,189376018
2021-08-29,298,189971293
2021-08-30,266,191515901
2021-08-31,839,194176380
2021-09-01,737,196166473
2021-09-02,764,198142390
2021-09-03,756,200077775
2021-09-04,692,201126108
2021-09-05,266,201522079
2021-09-06,182,203024669
2021-09-07,361,203577189
2021-09-08,250,205296045
2021-09-09,753,207509808
2021-09-10,672,209917761
