data,regiao,estado,obitos_novos,obitos_acumulado,casos_novos,casos_acumulado
2020-02-25,Norte,AC,0,0,0,0
2020-02-26,Norte,AC,0,0,0,0
2020-02-27,Norte,AC,0,0,0,0
2020-02-28,Norte,AC,0,0,0,0
2020-02-29,Norte,AC,0,0,0,0
2020-03-01,Norte,AC,0,0,0,0
2020-03-02,Norte,AC,0,0,0,0
2020-03-03,Norte,AC,0,0,0,0
2020-03-04,Norte,AC,0,0,0,0
2020-03-05,Norte,AC,0,0,0,0
2020-03-06,Norte,AC,0,0,0,0
2020-03-07,Norte,AC,0,0,0,0
2020-03-08,Norte,AC,0,0,0,0
2020-03-09,Norte,AC,0,0,0,0
2020-03-10,Norte,AC,0,0,0,0
2020-03-11,Norte,AC,0,0,0,0
2020-03-12,Norte,AC,0,0,0,0
2020-03-13,Norte,AC,0,0,0,0
2020-03-14,Norte,AC,0,0,0,0
2020-03-15,Norte,AC,0,0,0,0
2020-03-16,Norte,AC,0,0,0,0
2020-03-17,Norte,AC,0,0,0,0
2020-03-18,Norte,AC,0,0,0,0
2020-03-19,Norte,AC,0,0,3,3
2020-03-20,Norte,AC,0,0,4,7
2020-03-21,Norte,AC,0,0,2,9
2020-03-22,Norte,AC,0,0,2,11
2020-03-23,Norte,AC,0,0,0,11
2020-03-24,Norte,AC,0,0,6,17
2020-03-25,Norte,AC,0,0,6,23
2020-03-26,Norte,AC,0,0,1,24
2020-03-27,Norte,AC,0,0,1,25
2020-03-28,Norte,AC,0,0,0,25
2020-03-29,Norte,AC,0,0,9,34
2020-03-30,Norte,AC,0,0,8,42
2020-03-31,Norte,AC,0,0,0,42
2020-04-01,Norte,AC,0,0,1,43
2020-04-02,Norte,AC,0,0,0,43
2020-04-03,Norte,AC,0,0,3,46
2020-04-04,Norte,AC,0,0,0,46
2020-04-05,Norte,AC,0,0,2,48
2020-04-06,Norte,AC,0,0,2,50
2020-04-07,Norte,AC,1,1,0,50
2020-04-08,Norte,AC,1,2,4,54
2020-04-09,Norte,AC,0,2,8,62
2020-04-10,Norte,AC,0,2,8,70
2020-04-11,Norte,AC,0,2,2,72
2020-04-12,Norte,AC,0,2,5,77
2020-04-13,Norte,AC,1,3,13,90
2020-04-14,Norte,AC,0,3,9,99
2020-04-15,Norte,AC,0,3,2,101
2020-04-16,Norte,AC,2,5,9,110
2020-04-17,Norte,AC,0,5,25,135
2020-04-18,Norte,AC,0,5,7,142
2020-04-19,Norte,AC,1,6,21,163
2020-04-20,Norte,AC,2,8,13,176
2020-04-21,Norte,AC,0,8,19,195
2020-04-22,Norte,AC,0,8,19,214
2020-04-23,Norte,AC,2,10,13,227
2020-04-24,Norte,AC,1,11,7,234
2020-04-25,Norte,AC,0,11,24,258
2020-04-26,Norte,AC,0,11,21,279
2020-04-27,Norte,AC,3,14,0,279
2020-04-28,Norte,AC,2,16,32,311
2020-04-29,Norte,AC,1,17,43,354
2020-04-30,Norte,AC,2,19,50,404
2020-05-01,Norte,AC,0,19,82,486
2020-05-02,Norte,AC,2,21,67,553
2020-05-03,Norte,AC,3,24,104,657
2020-05-04,Norte,AC,4,28,76,733
2020-05-05,Norte,AC,1,29,84,817
2020-05-06,Norte,AC,4,33,126,943
2020-05-07,Norte,AC,3,36,71,1014
2020-05-08,Norte,AC,2,38,163,1177
2020-05-09,Norte,AC,1,39,158,1335
2020-05-10,Norte,AC,2,41,112,1447
2020-05-11,Norte,AC,4,45,13,1460
2020-05-12,Norte,AC,6,51,130,1590
2020-05-13,Norte,AC,1,52,104,1694
