data,coduf,obitosNovos
2020-01-03,NZ,0
2020-01-04,NZ,0
2020-01-05,NZ,0
2020-01-06,NZ,0
2020-01-07,NZ,0
2020-01-08,NZ,0
2020-01-09,NZ,0
2020-01-10,NZ,0
2020-01-11,NZ,0
2020-01-12,NZ,0
2020-01-13,NZ,0
2020-01-14,NZ,0
2020-01-15,NZ,0
2020-01-16,NZ,0
2020-01-17,NZ,0
2020-01-18,NZ,0
2020-01-19,NZ,0
2020-01-20,NZ,0
2020-01-21,NZ,0
2020-01-22,NZ,0
2020-01-23,NZ,0
2020-01-24,NZ,0
2020-01-25,NZ,0
2020-01-26,NZ,0
2020-01-27,NZ,0
2020-01-28,NZ,0
2020-01-29,NZ,0
2020-01-30,NZ,0
2020-01-31,NZ,0
2020-02-01,NZ,0
2020-02-02,NZ,0
2020-02-03,NZ,0
2020-02-04,NZ,0
2020-02-05,NZ,0
2020-02-06,NZ,0
2020-02-07,NZ,0
2020-02-08,NZ,0
2020-02-09,NZ,0
2020-02-10,NZ,0
2020-02-11,NZ,0
2020-02-12,NZ,0
2020-02-13,NZ,0
2020-02-14,NZ,0
2020-02-15,NZ,0
2020-02-16,NZ,0
2020-02-17,NZ,0
2020-02-18,NZ,0
2020-02-19,NZ,0
2020-02-20,NZ,0
2020-02-21,NZ,0
2020-02-22,NZ,0
2020-02-23,NZ,0
2020-02-24,NZ,0
2020-02-25,NZ,0
2020-02-26,NZ,0
2020-02-27,NZ,0
2020-02-28,NZ,0
2020-02-29,NZ,0
2020-03-01,NZ,0
2020-03-02,NZ,0
2020-03-03,NZ,0
2020-03-04,NZ,0
2020-03-05,NZ,0
2020-03-06,NZ,0
2020-03-07,NZ,0
2020-03-08,NZ,0
2020-03-09,NZ,0
2020-03-10,NZ,0
2020-03-11,NZ,0
2020-03-12,NZ,0
2020-03-13,NZ,0
2020-03-14,NZ,0
2020-03-15,NZ,0
2020-03-16,NZ,0
2020-03-17,NZ,0
2020-03-18,NZ,0
2020-03-19,NZ,0
2020-03-20,NZ,0
2020-03-21,NZ,0
2020-03-22,NZ,0
2020-03-23,NZ,0
2020-03-24,NZ,0
2020-03-25,NZ,0
2020-03-26,NZ,0
2020-03-27,NZ,0
2020-03-28,NZ,0
2020-03-29,NZ,1
2020-03-30,NZ,0
2020-03-31,NZ,0
2020-04-01,NZ,0
2020-04-02,NZ,0
2020-04-03,NZ,0
2020-04-04,NZ,0
2020-04-05,NZ,0
2020-04-06,NZ,0
2020-04-07,NZ,0
2020-04-08,NZ,0
2020-04-09,NZ,0
2020-04-10,NZ,1
2020-04-11,NZ,2
2020-04-12,NZ,0
2020-04-13,NZ,1
2020-04-14,NZ,4
2020-04-15,NZ,0
2020-04-16,NZ,0
2020-04-17,NZ,2
2020-04-18,NZ,0
2020-04-19,NZ,0
2020-04-20,NZ,1
2020-04-21,NZ,1
2020-04-22,NZ,1
2020-04-23,NZ,2
2020-04-24,NZ,1
2020-04-25,NZ,1
2020-04-26,NZ,0
2020-04-27,NZ,1
2020-04-28,NZ,0
2020-04-29,NZ,0
2020-04-30,NZ,0
2020-05-01,NZ,0
2020-05-02,NZ,1
2020-05-03,NZ,0
2020-05-04,NZ,0
2020-05-05,NZ,0
2020-05-06,NZ,1
2020-05-07,NZ,0
2020-05-08,NZ,0
2020-05-09,NZ,0
