coduf,data,obitosNovos,totalVacinacoes,pessoasVacinadas,novasVacinacoes
AFG,2020-03-14,0,0,0,0
AFG,2020-03-15,0,0,0,0
AFG,2020-03-16,0,0,0,0
AFG,2020-03-17,0,0,0,0
AFG,2020-03-18,0,0,0,0
AFG,2020-03-19,0,0,0,0
AFG,2020-03-20,0,0,0,0
AFG,2020-03-21,0,0,0,0
AFG,2020-03-22,0,0,0,0
AFG,2020-03-23,0,0,0,0
AFG,2020-03-24,1,0,0,0
AFG,2020-03-25,0,0,0,0
AFG,2020-03-26,0,0,0,0
AFG,2020-03-27,0,0,0,0
AFG,2020-03-28,1,0,0,0
AFG,2020-03-29,0,0,0,0
AFG,2020-03-30,1,0,0,0
AFG,2020-03-31,1,0,0,0
AFG,2020-04-01,0,0,0,0
AFG,2020-04-02,0,0,0,0
AFG,2020-04-03,0,0,0,0
AFG,2020-04-04,1,0,0,0
AFG,2020-04-05,0,0,0,0
AFG,2020-04-06,2,0,0,0
AFG,2020-04-07,0,0,0,0
AFG,2020-04-08,4,0,0,0
AFG,2020-04-09,3,0,0,0
AFG,2020-04-10,1,0,0,0
AFG,2020-04-11,0,0,0,0
AFG,2020-04-12,0,0,0,0
AFG,2020-04-13,3,0,0,0
AFG,2020-04-14,1,0,0,0
AFG,2020-04-15,3,0,0,0
AFG,2020-04-16,3,0,0,0
AFG,2020-04-17,4,0,0,0
AFG,2020-04-18,1,0,0,0
AFG,2020-04-19,0,0,0,0
AFG,2020-04-20,0,0,0,0
AFG,2020-04-21,3,0,0,0
AFG,2020-04-22,3,0,0,0
AFG,2020-04-23,0,0,0,0
AFG,2020-04-24,4,0,0,0
AFG,2020-04-25,0,0,0,0
AFG,2020-04-26,3,0,0,0
AFG,2020-04-27,6,0,0,0
AFG,2020-04-28,1,0,0,0
AFG,2020-04-29,10,0,0,0
AFG,2020-04-30,0,0,0,0
AFG,2020-05-01,0,0,0,0
AFG,2020-05-02,4,0,0,0
AFG,2020-05-03,0,0,0,0
AFG,2020-05-04,8,0,0,0
AFG,2020-05-05,0,0,0,0
AFG,2020-05-06,0,0,0,0
AFG,2020-05-07,23,0,0,0
AFG,2020-05-08,9,0,0,0
AFG,2020-05-09,1,0,0,0
AFG,2020-05-10,0,0,0,0
AFG,2020-05-11,10,0,0,0
AFG,2020-05-12,4,0,0,0
AFG,2020-05-13,2,0,0,0
AFG,2020-05-14,6,0,0,0
AFG,2020-05-15,5,0,0,0
AFG,2020-05-16,4,0,0,0
AFG,2020-05-17,17,0,0,0
AFG,2020-05-18,15,0,0,0
AFG,2020-05-19,1,0,0,0
AFG,2020-05-20,4,0,0,0
AFG,2020-05-21,4,0,0,0
AFG,2020-05-22,12,0,0,0
AFG,2020-05-23,12,0,0,0
AFG,2020-05-24,10,0,0,0
AFG,2020-05-25,7,0,0,0
AFG,2020-05-26,1,0,0,0
AFG,2020-05-27,1,0,0,0
AFG,2020-05-28,6,0,0,0
AFG,2020-05-29,9,0,0,0
AFG,2020-05-30,11,0,0,0
AFG,2020-05-31,2,0,0,0
AFG,2020-06-01,2,0,0,0
AFG,2020-06-02,15,0,0,0
AFG,2020-06-03,5,0,0,0
AFG,2020-06-04,24,0,0,0
AFG,2020-06-05,5,0,0,0
AFG,2020-06-06,10,0,0,0
AFG,2020-06-07,18,0,0,0
AFG,2020-06-08,30,0,0,0
AFG,2020-06-09,12,0,0,0
AFG,2020-06-10,7,0,0,0
AFG,2020-06-11,29,0,0,0
AFG,2020-06-12,21,0,0,0
AFG,2020-06-13,20,0,0,0
AFG,2020-06-14,5,0,0,0
AFG,2020-06-15,20,0,0,0
AFG,2020-06-16,5,0,0,0
AFG,2020-06-17,8,0,0,0
AFG,2020-06-18,20,0,0,0
AFG,2020-06-19,42,0,0,0
AFG,2020-06-20,2,0,0,0
AFG,2020-06-21,0,0,0,0
AFG,2020-06-22,33,0,0,0
AFG,2020-06-23,17,0,0,0
AFG,2020-06-24,20,0,0,0
AFG,2020-06-25,21,0,0,0
AFG,2020-06-26,36,0,0,0
AFG,2020-06-27,5,0,0,0
AFG,2020-06-28,23,0,0,0
AFG,2020-06-29,26,0,0,0
AFG,2020-06-30,4,0,0,0
AFG,2020-07-01,2,0,0,0
AFG,2020-07-02,39,0,0,0
AFG,2020-07-03,33,0,0,0
AFG,2020-07-04,12,0,0,0
AFG,2020-07-05,7,0,0,0
AFG,2020-07-06,38,0,0,0
AFG,2020-07-07,23,0,0,0
AFG,2020-07-08,33,0,0,0
AFG,2020-07-09,16,0,0,0
AFG,2020-07-10,1,0,0,0
AFG,2020-07-11,34,0,0,0
AFG,2020-07-12,4,0,0,0
AFG,2020-07-13,35,0,0,0
AFG,2020-07-14,2,0,0,0
AFG,2020-07-15,33,0,0,0
AFG,2020-07-16,49,0,0,0
AFG,2020-07-17,19,0,0,0
AFG,2020-07-18,34,0,0,0
AFG,2020-07-19,0,0,0,0
AFG,2020-07-20,34,0,0,0
AFG,2020-07-21,2,0,0,0
AFG,2020-07-22,1,0,0,0
AFG,2020-07-23,6,0,0,0
AFG,2020-07-24,21,0,0,0
AFG,2020-07-25,14,0,0,0
AFG,2020-07-26,21,0,0,0
AFG,2020-07-27,13,0,0,0
AFG,2020-07-28,10,0,0,0
AFG,2020-07-29,1,0,0,0
AFG,2020-07-30,1,0,0,0
AFG,2020-07-31,0,0,0,0
AFG,2020-08-01,0,0,0,0
AFG,2020-08-02,12,0,0,0
AFG,2020-08-03,0,0,0,0
AFG,2020-08-04,0,0,0,0
AFG,2020-08-05,5,0,0,0
AFG,2020-08-06,6,0,0,0
