coduf,data,obitosNovos,totalVacinacoes,pessoasVacinadas,novasVacinacoes
AFG,2021-12-08,1,0,0,0
AFG,2021-12-09,2,0,0,0
AFG,2021-12-10,2,0,0,0
AFG,2021-12-11,3,0,0,0
AFG,2021-12-12,1,0,0,0
AFG,2021-12-13,3,0,0,0
AFG,2021-12-14,0,0,0,0
AFG,2021-12-15,1,0,0,0
AFG,2021-12-16,2,0,0,0
AFG,2021-12-17,1,0,0,0
AFG,2021-12-18,0,0,0,0
AFG,2021-12-19,1,0,0,0
AFG,2021-12-20,2,0,0,0
AFG,2021-12-21,0,0,0,0
AFG,2021-12-22,0,0,0,0
AFG,2021-12-23,6,0,0,0
AFG,2021-12-24,5,0,0,0
AFG,2021-12-25,2,0,0,0
AFG,2021-12-26,4,0,0,0
AFG,2021-12-27,2,4674518,4142857,0
AFG,2021-12-28,0,0,0,0
AFG,2021-12-29,1,0,0,0
AFG,2021-12-30,1,0,0,0
AFG,2021-12-31,0,0,0,0
AFG,2022-01-01,0,0,0,0
AFG,2022-01-02,0,0,0,0
AFG,2022-01-03,5,0,0,0
AFG,2022-01-04,3,0,0,0
AFG,2022-01-05,2,0,0,0
AFG,2022-01-06,1,0,0,0
AFG,2022-01-07,1,0,0,0
AFG,2022-01-08,0,0,0,0
AFG,2022-01-09,1,4903368,4358570,0
AFG,2022-01-10,4,0,0,0
AFG,2022-01-11,0,4925111,4378818,0
AFG,2022-01-12,1,0,0,0
AFG,2022-01-13,2,4954809,4405897,0
AFG,2022-01-14,0,0,0,0
AFG,2022-01-15,0,0,0,0
AFG,2022-01-16,2,0,0,0
AFG,2022-01-17,1,4985047,4432926,0
AFG,2022-01-18,2,0,0,0
AFG,2022-01-19,2,5004050,4450211,0
AFG,2022-01-20,3,0,0,0
AFG,2022-01-21,0,0,0,0
AFG,2022-01-22,0,0,0,0
AFG,2022-01-23,4,0,0,0
AFG,2022-01-24,3,5046054,4486527,0
AFG,2022-01-25,0,0,0,0
AFG,2022-01-26,4,5074196,4511372,0
AFG,2022-01-27,4,5081064,4517380,6868
AFG,2022-01-28,2,0,0,0
AFG,2022-01-29,0,0,0,0
AFG,2022-01-30,4,0,0,0
AFG,2022-01-31,2,5125146,4554648,0
AFG,2022-02-01,5,0,0,0
AFG,2022-02-02,3,5152297,4577740,0
AFG,2022-02-03,1,0,0,0
AFG,2022-02-04,2,0,0,0
AFG,2022-02-05,0,0,0,0
AFG,2022-02-06,5,0,0,0
AFG,2022-02-07,7,5216998,4634282,0
AFG,2022-02-08,10,0,0,0
AFG,2022-02-09,12,0,0,0
AFG,2022-02-10,11,0,0,0
AFG,2022-02-11,12,0,0,0
AFG,2022-02-12,5,0,0,0
AFG,2022-02-13,6,0,0,0
AFG,2022-02-14,6,5321308,4723416,0
AFG,2022-02-15,7,0,0,0
AFG,2022-02-16,3,0,0,0
AFG,2022-02-17,9,0,0,0
AFG,2022-02-18,11,0,0,0
AFG,2022-02-19,5,0,0,0
AFG,2022-02-20,5,5412309,4801524,0
AFG,2022-02-21,7,0,0,0
AFG,2022-02-22,8,0,0,0
AFG,2022-02-23,25,0,0,0
AFG,2022-02-24,1,0,0,0
AFG,2022-02-25,3,0,0,0
AFG,2022-02-26,3,0,0,0
AFG,2022-02-27,7,5535254,4907058,0
AFG,2022-02-28,5,0,0,0
AFG,2022-03-01,5,0,0,0
AFG,2022-03-02,11,0,0,0
AFG,2022-03-03,8,0,0,0
AFG,2022-03-04,2,0,0,0
AFG,2022-03-05,1,0,0,0
AFG,2022-03-06,2,5597130,4952744,0
AFG,2022-03-07,1,0,0,0
AFG,2022-03-08,3,0,0,0
AFG,2022-03-09,4,0,0,0
AFG,2022-03-10,6,0,0,0
AFG,2022-03-11,3,0,0,0
AFG,2022-03-12,1,0,0,0
AFG,2022-03-13,2,0,0,0
AFG,2022-03-14,1,0,0,0
AFG,2022-03-15,2,0,0,0
AFG,2022-03-16,1,0,0,0
AFG,2022-03-17,0,5731146,5066540,0
AFG,2022-03-18,5,0,0,0
AFG,2022-03-19,0,0,0,0
AFG,2022-03-20,1,0,0,0
AFG,2022-03-21,2,0,0,0
AFG,2022-03-22,0,5751015,5082824,0
AFG,2022-03-23,2,0,0,0
AFG,2022-03-24,1,0,0,0
AFG,2022-03-25,1,0,0,0
AFG,2022-03-26,0,0,0,0
AFG,2022-03-27,2,0,0,0
AFG,2022-03-28,2,0,0,0
AFG,2022-03-29,1,0,0,0
AFG,2022-03-30,2,0,0,0
AFG,2022-03-31,0,0,0,0
AFG,2022-04-01,5,0,0,0
AFG,2022-04-02,1,0,0,0
AFG,2022-04-03,0,0,0,0
AFG,2022-04-04,0,5872684,5188057,0
AFG,2022-04-05,0,0,0,0
AFG,2022-04-06,0,0,0,0
AFG,2022-04-07,0,0,0,0
AFG,2022-04-08,2,0,0,0
AFG,2022-04-09,0,0,0,0
AFG,2022-04-10,2,0,0,0
AFG,2022-04-11,0,0,0,0
AFG,2022-04-12,0,0,0,0
AFG,2022-04-13,1,0,0,0
AFG,2022-04-14,0,5940400,5246981,0
AFG,2022-04-15,0,0,0,0
AFG,2022-04-16,0,0,0,0
AFG,2022-04-17,0,0,0,0
AFG,2022-04-18,2,5948889,5253929,0
AFG,2022-04-19,2,0,0,0
AFG,2022-04-20,0,0,0,0
AFG,2022-04-21,0,0,0,0
AFG,2022-04-22,0,0,0,0
AFG,2022-04-23,0,0,0,0
AFG,2022-04-24,1,0,0,0
AFG,2022-04-25,1,0,0,0
AFG,2022-04-26,1,5985756,5286657,0
AFG,2022-04-27,0,5986139,5287027,383
AFG,2022-04-28,0,0,0,0
AFG,2022-04-29,0,0,0,0
AFG,2022-04-30,0,0,0,0
AFG,2022-05-01,0,0,0,0
AFG,2022-05-02,0,0,0,0
AFG,2022-05-03,0,0,0,0
AFG,2022-05-04,0,0,0,0
AFG,2022-05-05,1,6021468,5318484,0
AFG,2022-05-06,0,0,0,0
AFG,2022-05-07,0,0,0,0
AFG,2022-05-08,0,6023425,5320381,0
AFG,2022-05-09,0,0,0,0
AFG,2022-05-10,1,6029737,5326298,0
AFG,2022-05-11,1,0,0,0
AFG,2022-05-12,0,0,0,0
AFG,2022-05-13,0,0,0,0
AFG,2022-05-14,1,0,0,0
AFG,2022-05-15,3,6066579,5359930,0
AFG,2022-05-16,0,0,0,0
AFG,2022-05-17,1,0,0,0
AFG,2022-05-18,0,0,0,0
AFG,2022-05-19,0,0,0,0
AFG,2022-05-20,4,0,0,0
AFG,2022-05-21,2,0,0,0
AFG,2022-05-22,0,0,0,0
AFG,2022-05-23,1,6118557,5407462,0
AFG,2022-05-24,0,0,0,0
AFG,2022-05-25,1,0,0,0
AFG,2022-05-26,0,0,0,0
AFG,2022-05-27,0,0,0,0
AFG,2022-05-28,0,0,0,0
AFG,2022-05-29,2,0,0,0
AFG,2022-05-30,0,0,0,0
AFG,2022-05-31,2,0,0,0
AFG,2022-06-01,2,6171652,5456919,0
AFG,2022-06-02,2,0,0,0
AFG,2022-06-03,1,0,0,0
AFG,2022-06-04,0,0,0,0
AFG,2022-06-05,1,0,0,0
AFG,2022-06-06,0,0,0,0
AFG,2022-06-07,0,0,0,0
AFG,2022-06-08,0,0,0,0
AFG,2022-06-09,0,0,0,0
AFG,2022-06-10,0,0,0,0
AFG,2022-06-11,0,0,0,0
AFG,2022-06-12,0,0,0,0
AFG,2022-06-13,1,0,0,0
AFG,2022-06-14,0,0,0,0
AFG,2022-06-15,0,6295222,5573175,0
AFG,2022-06-16,0,0,0,0
AFG,2022-06-17,3,0,0,0
AFG,2022-06-18,0,0,0,0
AFG,2022-06-19,0,0,0,0
AFG,2022-06-20,0,0,0,0
AFG,2022-06-21,1,6355931,5629522,0
AFG,2022-06-22,1,0,0,0
AFG,2022-06-23,0,0,0,0
AFG,2022-06-24,0,0,0,0
AFG,2022-06-25,0,0,0,0
AFG,2022-06-26,2,0,0,0
AFG,2022-06-27,0,6408475,0,0
AFG,2022-06-28,3,0,0,0
AFG,2022-06-29,2,0,0,0
AFG,2022-06-30,0,6445359,5713284,0
AFG,2022-07-01,1,0,0,0
AFG,2022-07-02,0,0,0,0
AFG,2022-07-03,1,0,0,0
AFG,2022-07-04,0,0,0,0
AFG,2022-07-05,1,0,0,0
AFG,2022-07-06,0,0,0,0
AFG,2022-07-07,0,0,0,0
AFG,2022-07-08,2,0,0,0
AFG,2022-07-09,0,0,0,0
AFG,2022-07-10,0,6491111,5755294,0
AFG,2022-07-11,1,0,0,0
AFG,2022-07-12,0,0,0,0
AFG,2022-07-13,0,0,0,0
AFG,2022-07-14,0,0,0,0
AFG,2022-07-15,0,0,0,0
AFG,2022-07-16,1,0,0,0
AFG,2022-07-17,1,6706843,5969406,0
AFG,2022-07-18,2,0,0,0
AFG,2022-07-19,1,7885045,7139453,0
AFG,2022-07-20,3,0,0,0
AFG,2022-07-21,1,0,0,0
AFG,2022-07-22,1,0,0,0
AFG,2022-07-23,0,0,0,0
