coduf,continente,regiao,data,casosAcumulado,obitosAcumulado,obitosNovos,casosAcumuladoMilhao,obitosNovosMilhao,totalVacinacoes,pessoasVacinadas,novasVacinacoes
AFG,Asia,Afghanistan,2021-01-19,54141,2346,3,1316,0,0,0,0
AFG,Asia,Afghanistan,2021-01-20,54278,2354,8,1319,0,0,0,0
AFG,Asia,Afghanistan,2021-01-21,54403,2363,9,1322,0,0,0,0
AFG,Asia,Afghanistan,2021-01-22,54483,2370,7,1324,0,0,0,0
AFG,Asia,Afghanistan,2021-01-23,54559,2373,3,1326,0,0,0,0
AFG,Asia,Afghanistan,2021-01-24,54595,2378,5,1327,0,0,0,0
AFG,Asia,Afghanistan,2021-01-25,54672,2385,7,1329,0,0,0,0
AFG,Asia,Afghanistan,2021-01-26,54750,2389,4,1331,0,0,0,0
AFG,Asia,Afghanistan,2021-01-27,54854,2389,0,1333,0,0,0,0
AFG,Asia,Afghanistan,2021-01-28,54891,2397,8,1334,0,0,0,0
AFG,Asia,Afghanistan,2021-01-29,54939,2399,2,1335,0,0,0,0
AFG,Asia,Afghanistan,2021-01-30,55008,2400,1,1337,0,0,0,0
AFG,Asia,Afghanistan,2021-01-31,55023,2400,0,1337,0,0,0,0
AFG,Asia,Afghanistan,2021-02-01,55059,2404,4,1338,0,0,0,0
AFG,Asia,Afghanistan,2021-02-02,55121,2405,1,1340,0,0,0,0
AFG,Asia,Afghanistan,2021-02-03,55174,2406,1,1341,0,0,0,0
AFG,Asia,Afghanistan,2021-02-04,55231,2407,1,1342,0,0,0,0
AFG,Asia,Afghanistan,2021-02-05,55265,2407,0,1343,0,0,0,0
AFG,Asia,Afghanistan,2021-02-06,55330,2408,1,1345,0,0,0,0
AFG,Asia,Afghanistan,2021-02-07,55335,2410,2,1345,0,0,0,0
AFG,Asia,Afghanistan,2021-02-08,55359,2413,3,1345,0,0,0,0
AFG,Asia,Afghanistan,2021-02-09,55384,2414,1,1346,0,0,0,0
AFG,Asia,Afghanistan,2021-02-10,55402,2418,4,1347,0,0,0,0
AFG,Asia,Afghanistan,2021-02-11,55420,2419,1,1347,0,0,0,0
AFG,Asia,Afghanistan,2021-02-12,55445,2424,5,1348,0,0,0,0
AFG,Asia,Afghanistan,2021-02-13,55473,2427,3,1348,0,0,0,0
AFG,Asia,Afghanistan,2021-02-14,55492,2427,0,1349,0,0,0,0
AFG,Asia,Afghanistan,2021-02-15,55514,2427,0,1349,0,0,0,0
AFG,Asia,Afghanistan,2021-02-16,55518,2428,1,1349,0,0,0,0
AFG,Asia,Afghanistan,2021-02-17,55540,2428,0,1350,0,0,0,0
AFG,Asia,Afghanistan,2021-02-18,55557,2430,2,1350,0,0,0,0
AFG,Asia,Afghanistan,2021-02-19,55575,2430,0,1351,0,0,0,0
AFG,Asia,Afghanistan,2021-02-20,55580,2430,0,1351,0,0,0,0
AFG,Asia,Afghanistan,2021-02-21,55604,2432,2,1351,0,0,0,0
AFG,Asia,Afghanistan,2021-02-22,55617,2433,1,1352,0,0,0,0
AFG,Asia,Afghanistan,2021-02-23,55646,2435,2,1352,0,0,0,0
AFG,Asia,Afghanistan,2021-02-24,55664,2436,1,1353,0,0,0,0
AFG,Asia,Afghanistan,2021-02-25,55680,2438,2,1353,0,0,0,0
AFG,Asia,Afghanistan,2021-02-26,55696,2442,4,1354,0,0,0,0
AFG,Asia,Afghanistan,2021-02-27,55707,2443,1,1354,0,0,0,0
OWID_AFR,,Africa,2021-01-19,3306197,79964,740,2317,0,10976,10976,1325
OWID_AFR,,Africa,2021-01-20,3330187,81160,1196,2334,0,13163,13163,2187
OWID_AFR,,Africa,2021-01-21,3360249,82103,943,2355,0,13163,13163,1864
OWID_AFR,,Africa,2021-01-22,3387112,83109,1006,2374,0,16890,16890,1864
OWID_AFR,,Africa,2021-01-23,3414744,84095,986,2393,0,18353,18353,1463
OWID_AFR,,Africa,2021-01-24,3442457,84887,792,2412,0,18353,18353,768
OWID_AFR,,Africa,2021-01-25,3461607,85529,642,2426,0,19889,19889,987
OWID_AFR,,Africa,2021-01-26,3477282,86152,623,2437,0,22712,22712,3072
OWID_AFR,,Africa,2021-01-27,3497345,87164,1012,2451,0,25587,25587,3124
OWID_AFR,,Africa,2021-01-28,3519663,88303,1139,2466,0,28779,28779,3441
OWID_AFR,,Africa,2021-01-29,3539554,89191,888,2480,0,30861,30861,47331
OWID_AFR,,Africa,2021-01-30,3560275,90041,850,2495,0,122206,32206,46685
OWID_AFR,,Africa,2021-01-31,3577719,90631,590,2507,0,158206,32206,44099
OWID_AFR,,Africa,2021-02-01,3592521,91151,520,2517,0,236712,36631,82180
OWID_AFR,,Africa,2021-02-02,3605244,91670,519,2526,0,295127,37836,65305
OWID_AFR,,Africa,2021-02-03,3620573,92532,862,2537,0,347149,38746,58805
OWID_AFR,,Africa,2021-02-04,3636476,93254,722,2548,0,390474,38746,50984
OWID_AFR,,Africa,2021-02-05,3652905,93799,545,2560,0,446986,38746,64171
OWID_AFR,,Africa,2021-02-06,3672158,94375,576,2573,0,504800,39248,63390
OWID_AFR,,Africa,2021-02-07,3685366,94916,541,2583,0,504800,39248,51317
OWID_AFR,,Africa,2021-02-08,3696902,95273,357,2591,0,593502,39373,51317
OWID_AFR,,Africa,2021-02-09,3707064,95713,440,2598,0,661263,39382,74726
OWID_AFR,,Africa,2021-02-10,3719325,96431,718,2606,0,795836,39385,141538
OWID_AFR,,Africa,2021-02-11,3733393,96979,548,2616,0,908796,39611,119925
OWID_AFR,,Africa,2021-02-12,3747404,97510,531,2626,0,1165581,39611,265830
OWID_AFR,,Africa,2021-02-13,3760816,98061,551,2635,0,1446178,43458,285481
OWID_AFR,,Africa,2021-02-14,3772253,98407,346,2643,0,1446178,43458,167375
OWID_AFR,,Africa,2021-02-15,3782960,98706,299,2651,0,1766999,43467,167375
OWID_AFR,,Africa,2021-02-16,3791711,99157,451,2657,0,1965819,43474,209955
OWID_AFR,,Africa,2021-02-17,3802298,99616,459,2665,0,2147659,47134,190469
OWID_AFR,,Africa,2021-02-18,3815077,100031,415,2673,0,2304003,50215,169325
OWID_AFR,,Africa,2021-02-19,3827208,100505,474,2682,0,2514038,2487572,149640
OWID_AFR,,Africa,2021-02-20,3839883,100903,398,2691,0,2616970,2581895,136386
OWID_AFR,,Africa,2021-02-21,3849558,101195,292,2698,0,2623735,2588660,95674
OWID_AFR,,Africa,2021-02-22,3859017,101537,342,2704,0,2745898,2700632,101548
OWID_AFR,,Africa,2021-02-23,3869727,101834,297,2712,0,2854362,2799750,137376
OWID_AFR,,Africa,2021-02-24,3878839,102312,478,2718,0,3151789,3091099,332462
OWID_AFR,,Africa,2021-02-25,3892193,102671,359,2728,0,3435126,3367981,313844
OWID_AFR,,Africa,2021-02-26,3902601,103003,332,2735,0,3677781,3557825,277597
OWID_AFR,,Africa,2021-02-27,3915289,103347,344,2744,0,3866524,3681069,219343
ALB,Europe,Albania,2021-01-19,67690,1277,7,23815,2,483,483,36
ALB,Europe,Albania,2021-01-20,67982,1281,4,23917,1,519,519,36
ALB,Europe,Albania,2021-01-21,68568,1287,6,24123,2,549,549,30
ALB,Europe,Albania,2021-01-22,69238,1291,4,24359,1,0,0,0
ALB,Europe,Albania,2021-01-23,69916,1296,5,24598,1,0,0,0
ALB,Europe,Albania,2021-01-24,70655,1303,7,24858,2,0,0,0
ALB,Europe,Albania,2021-01-25,71441,1310,7,25134,2,0,0,0
ALB,Europe,Albania,2021-01-26,72274,1315,5,25427,1,0,0,0
ALB,Europe,Albania,2021-01-27,72812,1324,9,25617,3,0,0,0
ALB,Europe,Albania,2021-01-28,73691,1332,8,25926,2,0,0,0
ALB,Europe,Albania,2021-01-29,74567,1339,7,26234,2,0,0,0
ALB,Europe,Albania,2021-01-30,75454,1350,11,26546,3,0,0,0
ALB,Europe,Albania,2021-01-31,76350,1358,8,26861,2,0,0,0
ALB,Europe,Albania,2021-02-01,77251,1369,11,27178,3,0,0,0
ALB,Europe,Albania,2021-02-02,78127,1380,11,27487,3,550,549,0
ALB,Europe,Albania,2021-02-03,78992,1393,13,27791,4,0,0,0
ALB,Europe,Albania,2021-02-04,79934,1398,5,28122,1,0,0,0
ALB,Europe,Albania,2021-02-05,80941,1404,6,28477,2,0,0,0
ALB,Europe,Albania,2021-02-06,81993,1418,14,28847,4,0,0,0
ALB,Europe,Albania,2021-02-07,83082,1433,15,29230,5,0,0,0
ALB,Europe,Albania,2021-02-08,84212,1446,13,29627,4,0,0,0
ALB,Europe,Albania,2021-02-09,85336,1460,14,30023,4,1127,689,0
ALB,Europe,Albania,2021-02-10,86289,1472,12,30358,4,0,0,0
ALB,Europe,Albania,2021-02-11,87528,1488,16,30794,5,0,0,0
ALB,Europe,Albania,2021-02-12,88671,1503,15,31196,5,0,0,0
ALB,Europe,Albania,2021-02-13,89776,1517,14,31585,4,0,0,0
ALB,Europe,Albania,2021-02-14,90835,1531,14,31958,4,0,0,0
ALB,Europe,Albania,2021-02-15,91987,1543,12,32363,4,0,0,0
ALB,Europe,Albania,2021-02-16,93075,1555,12,32746,4,0,0,0
ALB,Europe,Albania,2021-02-17,93850,1567,12,33018,4,1701,1090,0
ALB,Europe,Albania,2021-02-18,94651,1582,15,33300,5,3049,2438,1348
ALB,Europe,Albania,2021-02-19,95726,1600,18,33678,6,4177,0,1128
ALB,Europe,Albania,2021-02-20,96838,1617,17,34070,5,0,0,0
